A	một
Absolute tense	thời (chế) tuyệt đối
Absolute term	số hạng tuyệt đối
Absolute unit	đơn vị tuyệt đối
Absolute value	giá trị tuyệt đối.
Absolute value computer	máy điện toán trị tuyệt đối
Absolute value function	hàm số trị tuyệt đối
Absolute vector	véctơ tuyệt đối
Absolute volt	volt tuyệt đối
Absolute zero	số không tuyệt đối
Absolutely	chắc chắn rồi
Absolutely convergent	hội tụ tuyệt đối
Absoluteness	tính tuyệt đối, tính hoàn toàn
Absolution	(pháp lý) sự tha tội, sự miễn xá
Absolutism	(chính trị) sự chuyên chế, chính thể chuyên chế
Absolutist	(chính trị) người theo chính thể chuyên chế
Absolve	tha tội, xá tội, tuyên án vô tội
Absolver	- xem absolve
Absonant	không hợp điệu, không hoà hợp
Absorb	hấp thụ
Absorbability	khả năng hút thu
Absorbable	có thể nuốt được
Absorbed	miệt mài, mê mải, say mê, chăm chú
Absorbed photon	quang tử hấp thu
Absorbed power	công suất hấp thu
Absorbedly	miệt mài, mê mải
Absorbefacient	làm tiêu đi, làm tan đi
Absorbent	hút nước, thấm hút
Absorber	thiết bị hút thu
Absorbing load	tải hấp thu
Absorbing state	trạng thái hấp thu
Absorptance	độ hấp thu
Absorption	sự hút, sự hút thu
Absorption cell	tổ hấp thu
Absorption circuit	mạch hấp thu
Absorption coefficien	hệ số hấp thu
Absorption current	dòng hấp thu
Absorption factor	hệ số hấp thu
Absorption index	chỉ số hấp thu
Absorption spectrum	quang phổ hấp thu
Absquatulate	trốn chạy
Abstain	kiêng, kiêng khem, tiết chế
Abstainer	người kiêng rượu
Abstaining	sự kiêng khem
Abstemious	tiết chế, có điều độ
Abstemiously	chừng mực, điều độ, tiết độ
Abstemiousness	sự điều độ, sự tiết độ
Abstention	sự kiêng
Absterge	tẩy, làm sạch
Abstergent	tẩy, làm sạch
Abstersion	sự tẩy sạch, sự làm sạch
Abstersive	tẩy, làm sạch
Abstinence	nhịn chi tiêu
Abstinency	thói quen ăn uống điều độ, sự kiêng khem
Abstinent	ăn uống điều độ
Abstract	trừu tượng
Abstract algebra	đại số học trừu tượng
Abstract journal	báo trích yếu, báo sao lục
Abstract noun	danh từ trừu tượng
Abstract semantics	ngữ nghĩa trừu tượng
Abstract symbol	ký hiệu trừu tượng
Abstract syntax	cú pháp trừu tượng
Abstracted	lơ đãng
Abstractedly	trừu tượng
Abstractedness	sự lơ đãng
Abstraction	sự trừu tượng, sự trừu tượng hoá
Abstractionism	chủ nghĩa trừu tượng
Abstractionist	người theo chủ nghĩa trừu tượng
Abstractness	tính trừu tượng
Abstrahent	trừu tượng, khó hiểu
Abstriction	(thực vật) sự tách rụng bào tử
Abstruse	khó hiểu
Abstrusely	thâm thúy, sâu sắc
Abstruseness	tính khó hiểu
Absurd	vô lý
Absurdity	sự vô lý
Absurdly	vô lý
Abterminal	(thực vật) xa ngọn
Abtruse	khó hiểu
Abulia	(y học) chứng mất ý chí
Abundance	sự nhiều, sự giàu có, sự phong phú
Abundant	phong phú, nhiều, chan chứa
Abundantly	nhiều
Abuse	lạm dụng
Abuser	người lạm dụng
Abusive	lạm dụng
Abusively	lăng mạ, thoá mạ
Abusiveness	sự lạm dụng
Abut	giáp giới với, tiếp giáp với
Abutilon	(thực vật học) giống cây cối xay
Abutment	giới hạn, biên giới, chỗ tiếp giáp
Abuttal	giới hạn, biên giới, chổ tiếp giáp
Abutter	(pháp lý) chủ nhà đất láng giềng (ở ngay cạnh nhà đất của ai)
Abutting	giới hạn, tiếp giáp
Abuzz	đầy tiếng rì rầm, ồn ào
Abysmal	không đáy, thăm thẳm, sâu không dò được
Abysmally	thậm tệ, cùng cực, vô cùng
Abysopelagic	thuộc vùng khơi- sâu thẳm
Abyss	vực sâu, vực thẳm
Abyssal	sâu thăm thảm, sâu như vực thẳm, sâu không dò được
Abyssobenthic	thuộc đáy biển thẳm
Ac-cut quartz	thạch anh kiểu cắt ac
Acacia	giống cây keo
Academe	học viện
Academese	phong cách hàn lâm viện
Academia	giới học viện
Academic	học tập
Academical	học viện
Academically	về mặt lý thuyết, thuần về lý thuyết
Academicals	mũ áo đại học (của giáo sư và học sinh đại học ở anh)
Academician	viện sĩ
Academy	học viện
Acaleph	loài sứa
Acanthi	cây ô rô
Acanthocarp	quả gai
Acanthocarpous	có quả gai
Acanthocephalan	sâu bọ đầu gai
Acanthocephalous	có đầu móc
Acanthocladous	có cành gai
Acanthocyst	kén gai, nang gai
Acanthoma	bướu gai
Acanthophore	cuống gai
Acanthophysis	sự rụng gai
Acanthopore	(sinh học) sự hoá gai
Acanthus	cây ô rô
Acapsular	không bao
Acardia	tật thiếu tim (bẩm sinh)
Acari	(động vật học) cái ghẻ
Acarid	(động vật) bộ ve bét| tính từ
Acarpellous	(thực vật học) không lá noãn
Acarpous	(thực vật học) không sinh quả
Acarus	(động vật học) cái ghẻ
Acas	dịch vụ trọng tài, hoà giải và cố vấn
Acatalectic	câu có số âm tiết đầy đủ (câu thơ)
Acaulescent	(thực vật) không thân cây
Acaulesent	(thực vật học) không thân (cây)
Acauline	(thực vật học) không thân (cây)
Acaulose	(thực vật học) không thân (cây)
Acaulosia	sự không phát triển thân
Acaulous	(thực vật học) không thân (cây)
Accedence	- xem accede
Acceder	- xem accede
Accelerando	(nhạc) nhanh dần
Accelerandou	(âm nhạc) nhanh lên
Accelerant	(hoá học) chất làm phản ứng hoá học xuất hiện nhanh hơn
Accelerate	đẩy nhanh
Accelerated test	- (tech) trắc nghiệm gia tốc
Accelerating	làm nhanh thêm
Accelerating anode	- (tech) dương cực gia tốc
Accelerating cavity	- (tech) cái hốc gia tốc
Accelerating coil	- (tech) cuộn dây gia tốc
Accelerating electrode	- (tech) điện cực gia tốc
Accelerating field	- (tech) trường gia tốc
Accelerating grid	- (tech) lưới gia tốc
Accelerating potential	- (tech) thế gia tốc
Acceleration	sự làm nhanh thêm, sự thúc mau, sự giục gấp
Acceleration of convergence	- (tech) gia tốc hội tụ
Acceleration parameter	- (tech) thông số gia tốc
Acceleration voltage	- (tech) điện thế gia tốc
Accelerative	làm nhanh thên, làm mau thêm
Accelerator	- (econ) gia số
Accelerator board	- (tech) bảng gia tốc, tấm gia tốc
Accelerator card	- (tech) thẻ gia tốc
Accelerator coefficient	- (econ) hệ số gia tốc
Accelerator effect	- (econ) hiệu ứng gia tốc.
Accelerator key	- (tech) khóa gia tốc, phím gia tốc
Accelerometer	- (tech) máy đo gia tốc, gia tốc kế
Accent	giọng điệu
Accented character	- (tech) chữ có dấu
Accentor	(động vật học) chim chích
Accentual	(thuộc) trọng âm
Accentually	- xem accentual
Accentuate	nhấn trọng âm, đặt trọng âm, đánh dấu trọng âm
Accentuated contrast	- (tech) sự tương phản tăng cường
Accentuation	sự nhấn trọng âm, sự đặt trọng âm, sự đánh dấu trọng âm
Accentuator	- (tech) bộ gia cường, bộ tăng sóng
Accept	Chấp nhận
Accept connection	nối nhận
Accept stacker	hộp chứa phiếu đã đọc
Accept statement	câu lệnh nhận
Acceptability	tính chất có thể chấp nhận
Acceptable	chấp nhận được
Acceptable quality level	mức độ phẩm chất chấp nhận được
Acceptableness	- xem acceptable
Acceptably	chấp nhận được, thừa nhận được
Acceptance	chấp thuận
Acceptance angle	góc thụ quang, góc nhận ánh sáng
Acceptance cone	chóp thụ quang
Acceptance inspection	kiểm tra nghiệm thu
Acceptance pattern	mô thức thụ quang
Acceptance test	thử nghiệm thu, trắc nghiệm kiểm nhận
Acceptance trials	thực nghiệm thụ quang
Acceptation	ý nghĩa đặc biệt (của một từ, thành ngữ)
Accepted	đã được thừa nhận, đã được công nhận
Accepting	nhận tin (đầu cuối)
Accepting station	trạm nhận tin
Acceptor	(thương nghiệp) người nhận thanh toán (hoá đơn...)
Acceptor center	trung tâm tiếp nhận
Acceptor circuit	mạch cộng hưởng nối tiếp, mạch nhận
Acceptor level	mức nhận
Acceptor state	trạng thái nhận
Acceptor type trap	cái bẫy loại nhận
Accesions tax	thuế quà tặng.
Accesory	phụ thêm
Access	truy cập
Access address	địa chỉ truy cập
Access arm	cần mang đầu từ
Access attempt	lần thử độ truy cập
Access barred signal	tín hiệu cản truy cập
Access category	hạng mục/loại truy cập
Access code	mã truy cập
Access control	điều khiển truy cập
Access control device	thiết bị điều khiển truy cập
Access coupler	bộ ghép truy cập
Access denial	chối bỏ/từ khước truy cập
Access digit	số mã truy cập
Access failure	thất bại truy cập
Access hierarchy	giai tầng truy cập
Access hole	khe đầu từ
Access key	phím truy cập
Access level	mức truy cập
Access list	danh sách truy cập
Access memory	bộ nhớ truy cập
Access menu	đơn chọn truy cập
Access method	phương pháp truy cập
Access mode	kiểu truy cập
Access model	mô hình truy cập
Access originator	nguồn khởi truy cập
Access path	đường truy cập
Access period	thời kỳ truy cập
Access permission	cho phép truy cập
Access phase	pha/vị tướng truy cập
Access plan	kế hoạch truy cập
Access point	điểm truy cập
Access port	bến truy cập
Access privilege	đặc quyền truy cập
Access procedure	- (tech) thủ tục truy cập
Access protocol	- (tech) nghi thức truy cập
Access rate	tốc độ truy cập
Access request	- (tech) yêu cầu truy cập
Access success	- (tech) thành công truy cập
Access success ratio	- (tech) tỉ lệ thành công truy cập
Access time	- (tech) thời gian truy cập
Access type	- (tech) loại truy cập
Access-denial probability	- (tech) xác suất từ khước truy cập
Access-denial time	- (tech) thời gian từ khước truy cập
Access-rights terminal	- (tech) đầu cuối dành quyền truy cập
Accessary	đồ phụ tùng
Accessibility	tính có thể tới được, tính có thể đến gần được
Accessible	có thể truy cập
Accessibleness	có thể truy cập
Accessibly	có thể truy cập
Accessiflexor	cơ gấp phụ
Accession	sự đến gần, sự tiếp kiến
Accessional	sự đến gần, sự tiếp kiến
Accessorial	sự đến gần, sự tiếp kiến
Accessories	phụ tùng, bộ phụ, phụ kiện
Accessorily	- xem accessory
Accessoriness	- xem accessory
Accessorius	(giải phẫu) cơ phụ
Accessory	đồ phụ tùng
Accessory software	nhu liệu/phần mềm phụ
Acciaccatura	nốt dựa
Accidence	(ngôn ngữ học) hình thái học
Accident	Tai nạn
Accident-prone	thường xảy ra tai nạn
Accidental	tình cờ, ngẫu nhiên
Accidental error	- (tech) sai số rủi ro
Accidentally	tình cờ, ngẫu nhiên
Accipiter	chim ưng
Accipitral	(thuộc) chim ưng
Accipitrine	liên quan tới chim ưng
Acclaim	tiếng hoan hô
Acclamatory	hoan hô bằng cách nhiệt liệt hoan hô
Acclimation	sự thích nghi khí hậu, sự làm hợp thuỷ thổ
Acclivity	dốc ngược
Acclivous	dốc ngược
Accolade	sự ôm hôn, sự gõ nhẹ sống gươm lên vai (khi phong tước)
Accommodate	chứa
Accommodated location	vị trí thu nhận
Accommodating	dễ dãi, dễ tính, xuề xoà
Accommodating monetary policy	chính sách tiền tệ điều tiết.
Accommodation	sự điều tiết, sự thích nghi, sự làm cho phù hợp
Accommodation address	địa chỉ tạm
Accommodation ladder	thang dây (ở bên sườn tàu thuỷ để lên xuống các xuồng nhỏ)
Accommodation limits	- (tech) giới hạn dung chứa
Accommodation train	(từ mỹ,nghĩa mỹ) xe lửa địa phương (ở địa phương)
Accommodation unit	nơi ở
Accommodation-ladder	(hàng hải) thang, thang dây (ở bên sườn tàu thuỷ để lên xuống các xuồng nhỏ)
Accommode	- (tech) thích ứng, thích nghi
Accompaniment	vật phụ thuộc, vật kèm theo
Accompanist	(âm nhạc) người đệm (nhạc, đàn)
Accompany	đi kèm
Accomplice	kẻ tòng phạm, kẻ đồng loã
Accomplish	hoàn thành
Accomplishable	- xem accomplish
Accomplished	đã hoàn thành, đã làm xong, xong xuôi, trọn vẹn
Accomplisher	- xem accomplish
Accomplishment	hoàn thành
Accord	sự đồng lòng, sự đồng ý, sự tán thành
Accordant	thích hợp, phù hợp, hoà hợp với, theo đúng với
Accorde	hòa ước
According	theo
Accordingly	do đó, vì vậy, cho nên
Accordion	(âm nhạc) đàn xếp, đàn ăccoc
Accordionist	người chơi đàn xếp, người chơi đàn ăccooc
Accost	đến gần
Accouchement	sự đẻ
Accoucheur	người đỡ đẻ
Accoucheuse	nữ hộ sinh, bà đỡ
Account	tài khoản
Account card	- (tech) thẻ chương mục
Account data	- (tech) dữ kiện kế toán, số liệu kế toán
Account level security	- (tech) an toàn mức kế toán
Account name	- (tech) tên chương mục, tên tài khoản
Account number	- (tech) số chương mục, số tài khoản
Account-holder	người nắm giữ tài khoản
Accountability	trách nhiệm giải trình
Accountable time	- (tech) thời gian đắc dụng (máy điện toán)
Accountableness	- xem accountable
Accountably	- xem accountable
Accountancy	nghề kế toán
Accountant	nhân viên kế toán, người giữ sổ sách kế toán
Accountantship	chức kế toán
Accounting	kế toán
Accouterment	(mỹ) trang bị y phục
Accoutre	mặc cho (bộ đồ đặc biệt...)
Accoutrement	bộ áo quần đặc biệt
Accoutrements	quần áo, trang phục
Accredit	làm cho người ta tin (ý kiến, tin tức, tin đồn...)
Accredited	được chính thức công nhận (người)
Accrescent	(thực vật học) cùng phát triển, cùng lớn lên
Accrete	cùng phát triển, cùng lớn lên thành một khối
Accretion	sự lớn dần lên, sự phát triển dần lên,
Accretionary	- xem accretion
Accretive	lớn dần lên, phát triển dần lên
Accrual	sự dồn lại, sự tích lại
Accruement	sự dồn lại, sự tích lại
Acculturate	tiếp biến về văn hoá
Acculturation	sự tiếp nhận và biến đổi văn hoá, sự tiếp biến về văn hoá
Accumbent	(sinh học) áp ngoài
Accumulable	- xem accumulate
Accuracy	tính chính xác
Accurate	chính xác
Accurately	chính xác
Accurateness	sự đúng đắn, sự chính xác
Accursal	sự kết tội, sự buộc tội
Accursed	đáng nguyền rủa, đáng ghét, ghê tởm
Accurst	đáng nguyền rủa, đáng ghét, ghê tởm
Accusal	sự tố cáo
Accusation	tố cáo
Accusative	(ngôn ngữ học) (thuộc) đổi cách
Accusatorial	buộc tội, kết tội
Accusatory	buộc tội, kết tội
Accuse	tố cáo
Accused	bị cáo
Accuser	uỷ viên công tố, người buộc tội
Accusingly	với vẻ cáo buộc, với vẻ tố cáo
Accustom	làm cho quen, tập cho quen
Accustomed	quen với
Ace	(đánh bài) quân át, quân xì
Acellular	không có tế bào
Acentral	- không trung tâm
Acentric	không có tâm, không có đoạn trung tâm
Acephalous	không có đầu
Acerate	có dạng kim
Acerbate	làm tăng, làm trầm trọng
Acerbic	chua chát, gay gắt
Acerbity	vị chát, vị chua chát
Acervate	(thực vật học) mọc thành chùm
Acervuline	chen chúc, dày đặc
Acescent	hoá chua
Acetabuliform	dạng cối
Acetabulum	ổ cối
Acetate	(hoá học) axetat
Acetate film	- (tech) phim axêtat
Acetic	(hoá học) axetic
Acetic acid	- (hóa) axit axetic
Acetification	sự hoá giấm
Acetifier	- xem acetify
Acetify	làm thành giấm
Acetone	axeton
Acetonic	- xem acetone
Acetous	chua, có vị giấm
Acetylen	(hóa) axetilen
Acetylene	(hoá học) axetylen
Acetylenic	- xem acetylene
Ache	sự đau, sự nhức
Acheless	không đau đớn, không đau xót
Achene	(thực vật học) quả bế
Achenial	- xem achene
Achiasmatic	không vắt tréo
Achieve	Hoàn thành
Achievement	thành tích
Achiever	- xem achieve
Achilles	a-sin (anh hùng cổ hy lạp)
Achilles heel	điểm yếu
Achilles' tendon	- (giải) gân gót
Achiness	- xem achy
Aching	sự đau đớn (vật chất, tinh thần)
Achlamydeous	(thực vật học) không bao hoa, có hoa trần
Achondroplasia	tình trạng thiếu phát triển sụn (ở người)
Achondroplastic	không tạo sụn
Achromat	- (tech) chất tiêu sắc
Achromatic	(vật lý) tiêu sắc
Achromatic color	- (tech) mầu vô sắc, mầu không sắc
Achromatic lens	- (tech) thấu kính tiêu sắc
Achromatically	- xem achromatic
Achromatism	(vật lý) tính tiêu sắc
Achromatize	(vật lý) làm tiêu sắc
Achromatous	không màu, không sắc
Achromous	(vật lý) làm tiêu sắc
Achy	bị đau nhức
Acicula	dạng kim
Acicular	hình kim
Acid	axit
Acid rain	nước mưa cay gắt do hoà lẫn các khí thải độc hại
Acid test	sự thử nghiệm giá trị, sự thử thách
Acid-proof	chịu axit
Acid-resisting	chịu axit
Acid-soluble	tan trong axit
Acidic	có tính chất axit
Acidifiable	- xem acidify
Acidification	(hoá học) sự axit hoá
Acidifier	(hoá học) chất axit hoá
Acidify	axit hoá|  nội động từ
Acidimeter	cái đo axit
Acidimetric	- xem acidimeter
Acidimetry	- xem acidimeter
Acidity	tính axit
Acidly	chua chát, gay gắt
Acidness	- xem acid
Acidofuge	(sinh học) tránh axit
Acidophilous	(sinh học) ưa axit
Acidophily	(sinh học) tính ưa axit, tính ưa chua
Acidophyte	thực vật ưa đất chua
Acidose	(y học) sự nhiễm axit
Acidosis	sự nhiễm axit
Acidotrophic	dinh dưỡng axit, ăn chất chua
Acidotropic	hướng axit, hướng chua
Acidulate	làm cho hơi chua
Acidulated	hơi chua
Acidulation	- xem acidulate
Acidulous	hơi chua
Acierage	(kỹ thuật) việc luyện thành thép, việc mạ thép
Aciform	hình kim
Acinaceous	có hạch
Acinose	nhiều hạt
Ack	khẳng định, báo nhận
Acknowledge	công nhận
Acknowledge (ack)	báo nhận, ghi nhận, báo xác định
Acknowledge character	ký tự báo nhận
Acknowledge pulse	xung báo nhận
Acknowledge request	yêu cầu báo nhận
Acknowledge state	trạng thái báo nhận
Acknowledgeable	- xem acknowledge
Acknowledgement signal	- (tech) tín hiệu báo nhận
Acleidian	(giải phẫu) không xương đòn
Aclimate	phi khí hậu
Aclinic	(vật lý) không nghiêng, vô khuynh
Acme	tột đỉnh, đỉnh cao nhất
Acne	mụn trứng cá
Acned	- xem acne
Acnode	- (hình học) điểm cô lập (của đường cong)
Acock	đội lệch (mũ)
Acold	lạnh toát
Acolyte	(tôn giáo) thầy tu cấp dưới, thầy dòng, thầy tăng
Aconite	(thực vật học) cây phụ tử
Acorn	(thực vật học) quả đầu
Acorn tube	- (tech) đèn hạt dẻ
Acorn-shaped	(thực vật) dạng quả đấu
Acotyledon	(thực vật học) cây không lá mầm
Acotyledonous	(thực vật học) không lá mầm
Acoumeter	cái đo nghe
Acoustic	(thuộc) âm thanh
Acoustic absorber	- (tech) bộ hấp thụ âm thanh
Acoustic absorption	- (tech) hấp thụ âm thanh
Acoustic admittance	- (tech) dẫn nạp âm thanh
Acoustic baffle	- (tech) ván trợ âm thanh
Acoustic capacitance	- (tech) âm dung, âm lượng
Acoustic coupler	- (tech) bộ ghép âm, bổ đổi âm sang số
Acoustic coupler modem	- (tech) bộ biến hoàn ghép âm
Acoustic dispersion	- (tech) phân tán âm thanh
Acoustic engineering	- (tech) ngành kỹ thuật âm thanh
Acoustic fidelity	- (tech) độ trung thực âm thanh
Acoustic filter	- (tech) bộ lọc âm thanh
Acoustic impedance	- (tech) trở kháng âm thanh, âm trở
Acoustic noise	- (tech) nhiễu âm
Acoustic phonon	- (tech) thanh tử âm thanh
Acoustic sensor	- (tech) bộ cảm nhận âm thanh
Acoustic wave	- (tech) sóng âm thanh
Acoustical	- (thuộc) âm thanh
Acoustically	về âm thanh, về độ vang âm
Acoustician	nhà âm học
Acquaintanceship	sự quen biết
Acquainted	quen biết, quen thuộc (với)
Acquest	vật kiếm được, của cải làm ra
Acquiesce	bằng lòng, ưng thuận, đồng ý
Acquiescence	sự bằng lòng, sự ưng thuận, sự đồng ý
Acquiescent	bằng lòng, ưng thuận, đồng ý
Acquiescently	- xem acquiescent
Acquirable	- xem acquire
Acquire	có được, thu được
Acquirement	sự được, sự giành được, sự thu được, sự đạt được, sự kiếm được
Acquirer	- xem acquire
Acquisition	mua lại
Acquisitive	thích trữ của, hám lợi
Acquisitively	- xem acquisitive
Acquisitiveness	tính thích trữ của, tính hám lợi
Acquisitor	- xem acquisitive
Acquittal	sự trả xong nợ, sự trang trải xong nợ nần
Acquittancce	sự trả nợ, sự trang trải hết nợ nần
Acquittance	sự trả nợ, sự trang trải hết nợ nần
Acral	thuộc phía đầu
Acranial	(y học) không sọ, thiếu sọ
Acraspedout	không diềm, thiếu diềm
Acre	mẫu anh (khoảng 0, 4 hecta)
Acreage	diện tích (tính theo mẫu anh)
Acrid	hăng, cay sè
Acridity	vị hăng, mùi hăng, mùi cay sè
Acridly	- xem acrid
Acrimonious	chua cay, gay gắt (lời nói, thái độ)
Acrimoniously	chua cay, gay gắt
Acrimony	sự chua cay, sự gay gắt
Acrobat	người biểu diễn leo dây, người biểu diễn nhào lộn
Acrobatic	tính chất nhào lộn, liên quan đến nhào lộn
Acrobatically	tài tình, khéo léo
Acrobatics	thuật leo dây, thuật nhào lộn
Acrocarpic	thuộc quả ngọn
Acrocarpous	(thực vật học) có quả ở ngọn
Acrocentric	thể nhiễm sắc dạng que
Acrogenous	(thực vật học) sinh ở ngọn
Acrogynous	có túi noãn ở ngọn
Acromegaly	(y học) bệnh to cực
Acronycal	(thiên văn học) xuất hiện vào lúc chập tối (sao...)
Acropetal	hướng ngọn
Acrophilous	(thực vật) ưa ngọn
Acrophily	tính ưa ngọn
Acrophobia	(y học) chứng sợ nơi cao
Acropodium	ngón (chân, tay)
